"Route Name","Driver Name","Zone","Ward","Vehicle No","Route Type","Delete","Download","View Route","Edit"
"W35MR1","n/a","1-City","35-Bankhandi","MR007-70147996","doorToDoor","undefined","undefined","undefined","undefined"
"W19R2","n/a","1-City","19-Ramnagar Yamunapar","M128  UP85AG0960","doorToDoor","undefined","undefined","undefined","undefined"
"W65MR1","n/a","1-City","65-Holi Gali","MR036-70148499","doorToDoor","undefined","undefined","undefined","undefined"
"W63MR1","n/a","1-City","63-Maliyaan Sadar","MR010-70146501","doorToDoor","undefined","undefined","undefined","undefined"
"W24MR1","n/a","2-Bhuteswar","24-Sarai Azamabad","MR034-70143664","doorToDoor","undefined","undefined","undefined","undefined"
"W45MR1","n/a","2-Bhuteswar","45-Birla Mandir","MR033-70145883","doorToDoor","undefined","undefined","undefined","undefined"
"W33R5","n/a","3-Aurangabad","33-Palikhera","M091 UP85AG0778","doorToDoor","undefined","undefined","undefined","undefined"
"W41MR1","n/a","3-Aurangabad","41-Dhaulipiau","MR027-70143441","doorToDoor","undefined","undefined","undefined","undefined"
"W52MR1","n/a","3-Aurangabad","52-Chandrapuri","MR002-70146006","doorToDoor","undefined","undefined","undefined","undefined"
"W24R6","n/a","2-Bhuteswar","24-Sarai Azamabad","M040 UP14PT7938","doorToDoor","undefined","undefined","undefined","undefined"
"W59R1","n/a","3-Aurangabad","59-Maholi Second","UP85AG0777","doorToDoor","undefined","undefined","undefined","undefined"
"W6R5","n/a","3-Aurangabad","06-Aduki","M223 UP85AG0959","doorToDoor","undefined","undefined","undefined","undefined"
"W6R1","n/a","3-Aurangabad","06-Aduki","M223 UP85AG0959","doorToDoor","undefined","undefined","undefined","undefined"
"W12R2","n/a","2-Bhuteswar","12-Radhe Shyam Colony","M094   UP85AG0759","doorToDoor","undefined","undefined","undefined","undefined"
"W12R1","n/a","2-Bhuteswar","12-Radhe Shyam Colony","M094   UP85AG0759","doorToDoor","undefined","undefined","undefined","undefined"
"W61WBR2","n/a","1-City","61-Chaubia para","MR047-70145297","doorToDoor","undefined","undefined","undefined","undefined"
"W61WBR4","n/a","1-City","61-Chaubia para","MR018-70143474","doorToDoor","undefined","undefined","undefined","undefined"
"W61WBR1","n/a","1-City","61-Chaubia para","MR038-70148119","doorToDoor","undefined","undefined","undefined","undefined"
"W56WBR3","n/a","2-Bhuteswar","56-Mandi Randas","MR032-70145651","doorToDoor","undefined","undefined","undefined","undefined"
"W56WBR2","n/a","2-Bhuteswar","56-Mandi Randas","MR004-70147590","doorToDoor","undefined","undefined","undefined","undefined"
"W56WBR1","n/a","2-Bhuteswar","56-Mandi Randas","MR035-70148598","doorToDoor","undefined","undefined","undefined","undefined"
"W12MR1","n/a","2-Bhuteswar","12-Radhe Shyam Colony","MR013-70147533","doorToDoor","undefined","undefined","undefined","undefined"
"W17MR1","n/a","2-Bhuteswar","17-Bairaagpura","MR015-70143748","doorToDoor","undefined","undefined","undefined","undefined"
"W42R2","n/a","1-City","42-Manoharpur","M205 0918","doorToDoor","undefined","undefined","undefined","undefined"
"W42R1","n/a","1-City","42-Manoharpur","M173 UP85AG0884","doorToDoor","undefined","undefined","undefined","undefined"
"W50ER2","n/a","4-Vrindavan","50-Patharpura","M194 DL51GD9528","doorToDoor","undefined","undefined","undefined","undefined"
"W50R1","n/a","4-Vrindavan","50-Patharpura","M103   UP85AG0802","doorToDoor","undefined","undefined","undefined","undefined"
"W24R2","n/a","2-Bhuteswar","24-Sarai Azamabad","UP85AG0752","doorToDoor","undefined","undefined","undefined","undefined"
"W24R5","n/a","2-Bhuteswar","24-Sarai Azamabad","M061 UP85AG0801","doorToDoor","undefined","undefined","undefined","undefined"
"W49R2","n/a","1-City","49-Daimpiriyal Nagar","M015 UP14PT7997","doorToDoor","undefined","undefined","undefined","undefined"
"W61R1_C","n/a","1-City","61-Chaubia para","M252 UP85ET 7850_C","doorToDoor","undefined","undefined","undefined","undefined"
"W36R3","n/a","2-Bhuteswar","36-Jaisingh Pura","M238 UP85ET 7831","doorToDoor","undefined","undefined","undefined","undefined"
"W6R6","n/a","3-Aurangabad","06-Aduki","M031 UP85AG55552","doorToDoor","undefined","undefined","undefined","undefined"
"W6R2","n/a","3-Aurangabad","06-Aduki","M031 UP85AG55552","doorToDoor","undefined","undefined","undefined","undefined"
"W21R6(C)","n/a","4-Vrindavan","21-Chaitanya Bihar","UP85AG0804","doorToDoor","undefined","undefined","undefined","undefined"
"W45R2","n/a","2-Bhuteswar","45-Birla Mandir","DL51GD9539","doorToDoor","undefined","undefined","undefined","undefined"
"W54R2","n/a","2-Bhuteswar","54-Pratap Nagar","M245 DL51EV0265","doorToDoor","undefined","undefined","undefined","undefined"
